Stock,Year,Month,Stock Splits
BNTC,2015,Jun,0.25
BNTC,2019,Nov,0.1
BOCH,2000,Sep,1.1
BOCH,2004,Aug,3.0
BOKF,1999,Feb,2.0
BOKF,1999,Oct,1.03
BOKF,2001,May,1.03
BOKF,2002,May,1.03
BOKF,2003,May,1.03
BOKF,2004,May,1.03
BOOM,2005,Oct,2.0
BOSC,2003,May,0.25
BOSC,2010,Jan,0.2
BOSC,2012,Dec,0.25
BOTJ,2004,Jan,1.1
BOTJ,2005,Mar,1.5
BOTJ,2006,Mar,1.25
BOTJ,2007,Jun,1.0
BOTJ,2008,Jun,1.1
BOTJ,2009,Jun,1.05
BOTJ,2010,Jun,1.1
BP,1999,Oct,2.0
BPOP,2004,Jul,2.0
BPOP,2012,May,0.1
BPTH,2018,Feb,0.1
BPTH,2019,Jan,0.05
BRBS,2017,Aug,1.5
BRC,2005,Jan,2.0
BRFS,2006,Apr,3.0
BRFS,2010,Apr,4.0
BRKL,2002,Jul,2.187
BRN,2005,Jan,2.0
BRN,2005,Nov,3.0
BRO,2000,Aug,2.0
BRO,2001,Nov,2.0
BRO,2005,Nov,2.0
BRO,2018,Mar,2.0
BSAC,2012,Oct,2.6
BSGM,2018,Sep,0.4
BSQR,2005,Oct,0.25
BSX,2003,Nov,2.0
BTI,2017,Feb,4.0
BUSE,2004,Aug,1.5
BUSE,2015,Sep,0.3333333333333333
BVN,2003,Nov,2.0
BVN,2008,Jul,2.0
BW,2019,Jul,0.1
BWA,2004,May,2.0
BWA,2007,Dec,2.0
BWA,2013,Dec,2.0
BWEN,2012,Aug,0.1
BWXT,2015,Jul,1.398
BXC,2016,Jun,0.1
BXMT,2003,Apr,0.3333333333333333
BXMT,2013,May,0.1
BYFC,2002,Dec,2.0
BZH,2005,Mar,3.0
BZH,2012,Oct,0.2
C,1999,Jun,1.5
C,2000,Aug,1.3333333333333333
C,2011,May,0.1
CAAP,2018,Feb,1.004
CAC,2016,Oct,1.5
CACI,2001,Dec,2.0
CAE,2001,Jul,2.0
CAG,2016,Nov,1.285
CAH,2001,Apr,1.5
CAJ,2006,Aug,1.5
CAKE,2000,Jun,1.5
CAKE,2001,Jun,1.5
CAKE,2004,Dec,1.5
CAL,2006,Apr,1.5
CAL,2007,Apr,1.5
CALM,2004,Apr,2.0
CALM,2014,Nov,2.0
CANF,2019,May,0.06666666666666667
CAPR,2013,Nov,0.02
CAPR,2019,Jun,0.1
CAR,2006,Aug,6.25
CAR,2006,Sep,0.1
CARV,2011,Nov,0.06666666666666667
CASH,2018,Oct,3.0
CASI,2010,Jul,0.09090909090909091
CASS,2002,Dec,1.05
CASS,2004,Mar,1.1
CASS,2005,Sep,1.5
CASS,2006,Sep,1.5
CASS,2007,Nov,1.1
CASS,2011,Dec,1.1
CASS,2012,Dec,1.1
CASS,2017,Dec,1.1
CASS,2018,Dec,1.2
CAT,2005,Jul,2.0
CATB,2018,Dec,1.1
CATC,2002,Jul,3.0
CATO,2005,Jun,2.5
CATS,2011,Sep,0.025
CATS,2013,May,0.1
CATS,2017,Apr,0.16666666666666666
CATY,2002,May,2.0
CATY,2004,Sep,2.0
CB,2006,Apr,0.5
CBAN,1999,Apr,2.0
CBAN,2003,Sep,1.25
CBAN,2005,May,1.25
CBAT,2012,Oct,0.2
CBB,2016,Oct,0.2
CBD,2010,Oct,2.0
CBIO,2015,Aug,0.14285714285714285
CBIO,2017,Feb,0.06666666666666667
CBL,2005,Jun,2.0
CBLI,2015,Jan,0.05
CBMG,2013,Jan,0.01
CBRE,2006,Jun,3.0
CBSH,1999,Nov,1.05
CBSH,2000,Nov,1.05
CBSH,2001,Nov,1.05
CBSH,2002,Nov,1.05
CBSH,2003,Nov,1.05
CBSH,2004,Nov,1.05
CBSH,2005,Nov,1.05
CBSH,2006,Nov,2.05
CBSH,2007,Nov,1.05
CBSH,2008,Nov,1.05
CBSH,2009,Nov,1.05
CBSH,2010,Dec,1.0
CBSH,2011,Nov,1.0
CBSH,2012,Nov,1.05
CBSH,2013,Nov,1.05
CBSH,2014,Nov,1.05
CBSH,2015,Nov,1.05
CBSH,2016,Nov,1.05
CBSH,2017,Nov,1.05
CBSH,2018,Nov,1.05
CBU,2004,Apr,2.0
CCBG,2003,Jun,1.25
CCBG,2005,Jul,1.25
CCCL,2016,Jun,0.125
CCF,2007,Jun,2.0
CCJ,2005,Jan,3.0
CCJ,2006,Feb,2.0
CCM,2014,Jan,1.1384
CCNE,2004,May,2.5
CCOI,2005,Mar,0.05
CCU,2012,Dec,2.5
CDE,2009,May,0.1
CDMO,2009,Oct,0.2
CDMO,2017,Jul,0.14285714285714285
CDOR,2013,Aug,0.25
CDOR,2017,Mar,0.306
CDR,2003,Jul,2.0
CDR,2003,Oct,0.16666666666666666
CDXC,2016,Apr,0.3333333333333333
CDZI,2003,Dec,0.04
CEA,2010,Aug,2.0
CEI,2008,Feb,0.25
CEI,2015,Jul,0.04
CEI,2018,Dec,0.04
CEI,2018,Mar,0.04
CEI,2019,Jul,0.04
CEI,2019,Oct,0.02
CELH,2009,Dec,0.05
CEMI,2004,Mar,0.058823529411764705
CEMI,2012,May,0.125
CEQP,2004,Jan,2.0
CEQP,2013,Jun,1.698
CEQP,2015,Nov,0.1
CERN,2006,Jan,2.0
CERN,2011,Jun,2.0
CERN,2013,Jul,2.0
CETV,1999,Dec,0.125
CETV,2002,Aug,2.0
CETV,2003,Jan,2.0
CETV,2003,Nov,2.0
CETX,2019,Jun,0.125
CETXP,2017,Sep,1.1
CETXP,2018,Mar,1.05
CETXP,2018,Sep,1.05
CETXP,2019,Sep,1.05
CF,2015,Jun,5.0
CFBK,2012,May,0.2
CFBK,2018,Aug,0.181
CFFN,2010,Dec,2.2637
CFFN,2016,Jun,1.0
CFR,1999,Jun,2.0
CGA,2019,Jun,0.08333333333333333
CGIX,2019,Oct,0.03333333333333333
CGNX,2013,Sep,2.0
CGNX,2017,Dec,2.0
CHCI,2015,Sep,0.14285714285714285
CHD,1999,Sep,2.0
CHD,2004,Sep,1.5
CHD,2011,Jun,2.0
CHD,2016,Sep,2.0
CHDN,2019,Jan,3.0
CHE,2005,May,2.0
CHEK,2018,Apr,0.08333333333333333
CHFS,2017,Jan,0.03333333333333333
CHFS,2017,Oct,0.05
CHFS,2019,Jan,0.07142857142857142
CHH,2005,Oct,2.0
