Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Stock,Year,Month
2018-01-01,96.01,98.57,92.76,95.69,81900600.0,0.0,0.0,AXP,2018,Jan
2018-02-01,95.6,98.66,84.57,94.2,88312400.0,0.0,0.0,AXP,2018,Feb
2018-03-01,94.5,96.32,87.34,90.12,78495700.0,0.0,0.0,AXP,2018,Mar
2018-04-01,89.98,99.47,86.91,95.4,84082200.0,0.0,0.0,AXP,2018,Apr
2018-05-01,95.83,100.11,92.62,95.32,61288200.0,0.0,0.0,AXP,2018,May
2018-06-01,96.33,99.29,92.75,95.03,83248200.0,0.0,0.0,AXP,2018,Jun
2018-07-01,94.45,101.08,94.22,96.51,76267100.0,0.0,0.0,AXP,2018,Jul
2018-08-01,97.22,104.55,96.03,103.14,52885700.0,0.0,0.0,AXP,2018,Aug
2018-09-01,103.5,108.78,101.75,103.64,59450500.0,0.0,0.0,AXP,2018,Sep
2018-10-01,104.92,106.47,97.36,99.98,88321800.0,0.0,0.0,AXP,2018,Oct
2018-11-01,100.86,110.54,100.49,109.66,72184900.0,0.0,0.0,AXP,2018,Nov
2018-12-01,111.34,111.88,86.98,93.1,96451500.0,0.0,0.0,AXP,2018,Dec
2019-01-01,91.72,100.5,91.06,100.31,88543100.0,0.0,0.0,AXP,2019,Jan
2019-02-01,100.44,106.75,100.44,105.66,58842300.0,0.0,0.0,AXP,2019,Feb
2019-03-01,106.31,112.05,104.62,107.19,70700200.0,0.0,0.0,AXP,2019,Mar
2019-04-01,108.16,115.46,107.31,114.97,72221100.0,0.0,0.0,AXP,2019,Apr
2019-05-01,115.61,118.97,112.75,112.9,69606000.0,0.0,0.0,AXP,2019,May
2019-06-01,112.75,124.4,112.09,121.49,57138300.0,0.0,0.0,AXP,2019,Jun
2019-07-01,123.32,127.29,121.67,122.4,73150500.0,0.0,0.0,AXP,2019,Jul
2019-08-01,122.19,125.13,115.36,118.84,72143300.0,0.0,0.0,AXP,2019,Aug
2019-09-01,118.33,120.08,114.62,116.77,78724200.0,0.0,0.0,AXP,2019,Sep
