date,exchange_rate
2012-06-15,55.4128294697
2012-06-16,55.4128294697
2012-06-17,55.4128294697
2012-06-18,55.9946108734
2012-06-19,55.9529281243
2012-06-20,56.1547544081
2012-06-21,56.3046566693
2012-06-22,57.1520854933
2012-06-23,57.1520854933
2012-06-24,57.1520854933
2012-06-25,57.0147341448
2012-06-26,57.0148296593
2012-06-27,57.1349575252
2012-06-28,56.8553712353
2012-06-29,55.6949960286
2012-06-30,55.6949960286
2012-07-01,55.6949960286
2012-07-02,55.4419121734
2012-07-03,54.372166998
2012-07-04,54.4872611465
2012-07-05,54.952518912
2012-07-06,55.5142603216
2012-07-07,55.5142603216
2012-07-08,55.5142603216
2012-07-09,55.9350850077
2012-07-10,55.4147334147
2012-07-11,55.6280587276
2012-07-12,55.9246181639
2012-07-13,55.1448502257
2012-07-14,55.1448502257
2012-07-15,55.1448502257
2012-07-16,55.3256138622
2012-07-17,55.0451917596
2012-07-18,55.4422102338
2012-07-19,55.0451696915
2012-07-20,55.3549180328
2012-07-21,55.3549180328
2012-07-22,55.3549180328
2012-07-23,55.9735646427
2012-07-24,56.1196128712
2012-07-25,56.1603758035
2012-07-26,55.5252854812
2012-07-27,55.3349029796
2012-07-28,55.3349029796
2012-07-29,55.3349029796
2012-07-30,55.5846807121
2012-07-31,55.6553239987
2012-08-01,55.4740608229
2012-08-02,55.8350882877
2012-08-03,55.7550020416
2012-08-04,55.7550020416
2012-08-05,55.7550020416
2012-08-06,55.5271023508
2012-08-07,55.0691540688
2012-08-08,55.4150453956
2012-08-09,55.2946914885
2012-08-10,55.2846191486
2012-08-11,55.2846191486
2012-08-12,55.2846191486
2012-08-13,55.3440311208
2012-08-14,55.6598121762
2012-08-15,55.6858911698
2012-08-16,55.7749002362
2012-08-17,55.7153278755
2012-08-18,55.7153278755
2012-08-19,55.7153278755
2012-08-20,55.6991869919
2012-08-21,55.3950756357
2012-08-22,55.4916452442
2012-08-23,55.2549394519
2012-08-24,55.4849284401
2012-08-25,55.4849284401
2012-08-26,55.4849284401
2012-08-27,55.6823623304
2012-08-28,55.6750079694
2012-08-29,55.6301315265
2012-08-30,55.6337691327
2012-08-31,55.5277139006
2012-09-01,55.5277139006
2012-09-02,55.5277139006
2012-09-03,55.5346912794
2012-09-04,55.6610223388
2012-09-05,55.8912386707
2012-09-06,55.6646621301
2012-09-07,55.2849047694
2012-09-08,55.2849047694
2012-09-09,55.2849047694
2012-09-10,55.4453663118
2012-09-11,55.3249393916
2012-09-12,55.2287531017
2012-09-13,55.4275755229
2012-09-14,54.3062237495
2012-09-15,54.3062237495
2012-09-16,54.3062237495
2012-09-17,54.0547149626
2012-09-18,54.0248199786
2012-09-19,53.9947700354
2012-09-20,54.3358036128
2012-09-21,53.46473668
2012-09-22,53.46473668
2012-09-23,53.46473668
2012-09-24,53.4747599876
2012-09-25,53.3150324776
2012-09-26,53.514986376
2012-09-27,53.075190306
2012-09-28,52.8600154679
2012-09-29,52.8600154679
2012-09-30,52.8600154679
2012-10-01,52.4089461831
2012-10-02,52.3952049497
2012-10-03,52.2651890887
2012-10-04,51.7350011582
2012-10-05,51.8550992155
2012-10-06,51.8550992155
2012-10-07,51.8550992155
2012-10-08,52.6192313629
2012-10-09,52.7120358218
2012-10-10,53.0025603228
2012-10-11,52.6552097848
2012-10-12,52.8188126446
2012-10-13,52.8188126446
2012-10-14,52.8188126446
2012-10-15,53.0151877265
2012-10-16,52.8552813123
2012-10-17,52.8650914634
2012-10-18,53.3976215887
2012-10-19,53.8396624473
2012-10-20,53.8396624473
2012-10-21,53.8396624473
2012-10-22,53.474699533
2012-10-23,53.7647058824
2012-10-24,53.8317107093
2012-10-25,53.5750019241
2012-10-26,53.7333436628
2012-10-27,53.7333436628
2012-10-28,53.7333436628
2012-10-29,54.0851294774
2012-10-30,53.9662089184
2012-10-31,53.8135919341
2012-11-01,53.7048169557
2012-11-02,53.8108949416
2012-11-03,53.8108949416
2012-11-04,53.8108949416
2012-11-05,54.6074978477
2012-11-06,54.43515625
2012-11-07,54.2146555782
2012-11-08,54.3647927136
2012-11-09,54.7849377659
2012-11-10,54.7849377659
2012-11-11,54.7849377659
2012-11-12,54.8747546133
2012-11-13,54.9700693132
2012-11-14,54.8090523338
2012-11-15,54.6848541863
2012-11-16,55.1753628874
2012-11-17,55.1753628874
2012-11-18,55.1753628874
2012-11-19,55.0650368281
2012-11-20,55.09485518
2012-11-21,55.1151893791
2012-11-22,55.1429457845
2012-11-23,55.5350530638
2012-11-24,55.5350530638
2012-11-25,55.5350530638
2012-11-26,55.6248071583
2012-11-27,55.3599259316
2012-11-28,55.4650531378
2012-11-29,54.8253039865
2012-11-30,54.4247651317
2012-12-01,54.4247651317
2012-12-02,54.4247651317
2012-12-03,54.7767481045
2012-12-04,54.667736022
2012-12-05,54.5564485266
2012-12-06,54.1378518972
2012-12-07,54.4750096862
2012-12-08,54.4750096862
2012-12-09,54.4750096862
2012-12-10,54.5050270688
2012-12-11,54.2699915339
2012-12-12,54.2553680982
2012-12-13,54.2534985088
2012-12-14,54.4912468466
2012-12-15,54.4912468466
2012-12-16,54.4912468466
2012-12-17,54.8753799392
2012-12-18,54.8550614661
2012-12-19,54.5549541422
2012-12-20,54.8648648649
2012-12-21,55.0753274283
2012-12-22,55.0753274283
2012-12-23,55.0753274283
2012-12-24,54.9553638977
2012-12-25,54.9553638977
2012-12-26,54.9553638977
2012-12-27,54.9623096638
2012-12-28,54.7549874839
2012-12-29,54.7549874839
2012-12-30,54.7549874839
2012-12-31,54.9946945581
2013-01-01,54.9946945581
2013-01-02,54.313074951
2013-01-03,54.5046557777
2013-01-04,55.0753150938
2013-01-05,55.0753150938
2013-01-06,55.0753150938
2013-01-07,55.2250939489
2013-01-08,55.0649549136
2013-01-09,54.7549019608
2013-01-10,54.6534736521
2013-01-11,54.7596805786
2013-01-12,54.7596805786
2013-01-13,54.7596805786
2013-01-14,54.499662694
2013-01-15,54.6251969686
2013-01-16,54.8346765082
2013-01-17,54.3903351287
2013-01-18,53.8456919844
2013-01-19,53.8456919844
2013-01-20,53.8456919844
2013-01-21,53.7551602492
2013-01-22,53.7200570699
2013-01-23,53.607651913
2013-01-24,53.7553374785
2013-01-25,53.799836662
2013-01-26,53.799836662
2013-01-27,53.799836662
2013-01-28,53.9147575126
2013-01-29,53.7452542247
2013-01-30,53.2900081235
2013-01-31,53.2250922509
2013-02-01,53.1977425975
2013-02-02,53.1977425975
2013-02-03,53.1977425975
2013-02-04,53.2747933884
2013-02-05,53.1351111768
2013-02-06,53.1545461271
2013-02-07,53.2851026133
2013-02-08,53.5053088081
2013-02-09,53.5053088081
2013-02-10,53.5053088081
2013-02-11,53.8548278695
2013-02-12,53.8354665873
2013-02-13,53.8189910979
2013-02-14,53.9303669243
2013-02-15,54.3001876173
2013-02-16,54.3001876173
2013-02-17,54.3001876173
2013-02-18,54.3049730377
2013-02-19,54.3448947487
2013-02-20,54.0770381451
2013-02-21,54.6048839678
2013-02-22,54.2522372213
2013-02-23,54.2522372213
2013-02-24,54.2522372213
2013-02-25,53.8251653638
2013-02-26,54.0949759119
2013-02-27,53.8451553791
2013-02-28,54.3727625866
2013-03-01,54.9138461538
2013-03-02,54.9138461538
2013-03-03,54.9138461538
2013-03-04,54.8650726532
2013-03-05,54.8649685438
2013-03-06,54.752589183
2013-03-07,54.6126056879
2013-03-08,54.3750954927
2013-03-09,54.3750954927
2013-03-10,54.3750954927
2013-03-11,54.4128059104
2013-03-12,54.192139738
2013-03-13,54.306293814
2013-03-14,54.366545567
2013-03-15,54.005043558
2013-03-16,54.005043558
2013-03-17,54.005043558
2013-03-18,54.1248356408
2013-03-19,54.375
2013-03-20,54.3453070684
2013-03-21,54.244771495
2013-03-22,54.3412109978
2013-03-23,54.3412109978
2013-03-24,54.3412109978
2013-03-25,54.225976034
2013-03-26,54.4327812767
2013-03-27,54.4650689223
2013-03-28,54.3272159313
2013-03-29,54.3272159313
2013-03-30,54.3272159313
2013-03-31,54.3272159313
2013-04-01,54.3272159313
2013-04-02,54.1767912773
2013-04-03,54.4550982226
2013-04-04,54.8977999688
2013-04-05,54.8346724351
2013-04-06,54.8346724351
2013-04-07,54.8346724351
2013-04-08,54.5373569838
2013-04-09,54.5398773006
2013-04-10,54.5246828672
2013-04-11,54.524735117
2013-04-12,54.524977015
2013-04-13,54.524977015
2013-04-14,54.524977015
2013-04-15,54.6288510053
2013-04-16,54.1046538198
2013-04-17,54.2051946074
2013-04-18,53.9724032196
2013-04-19,53.9725505147
2013-04-20,53.9725505147
2013-04-21,53.9725505147
2013-04-22,54.1466595076
2013-04-23,54.3548883757
2013-04-24,54.2203598339
2013-04-25,54.125382263
2013-04-26,54.3249480729
2013-04-27,54.3249480729
2013-04-28,54.3249480729
2013-04-29,54.1729581332
2013-04-30,53.7599449204
2013-05-01,53.7599449204
2013-05-02,53.7646880449
2013-05-03,53.9248131768
2013-05-04,53.9248131768
2013-05-05,53.9248131768
2013-05-06,54.1649500267
2013-05-07,54.0878919661
2013-05-08,54.1248572516
2013-05-09,54.2809313651
2013-05-10,54.9052971974
2013-05-11,54.9052971974
2013-05-12,54.9052971974
2013-05-13,54.7377630463
2013-05-14,54.765354088
2013-05-15,54.767335199
2013-05-16,54.7750193949
2013-05-17,54.8651798897
2013-05-18,54.8651798897
2013-05-19,54.8651798897
2013-05-20,55.0851941181
2013-05-21,55.4150474118
2013-05-22,55.5652712219
2013-05-23,55.7146182495
2013-05-24,55.746193678
2013-05-25,55.746193678
2013-05-26,55.746193678
2013-05-27,55.5761650823
2013-05-28,55.9653733189
2013-05-29,56.1751080914
2013-05-30,56.4346415328
2013-05-31,56.5108411502
2013-06-01,56.5108411502
2013-06-02,56.5108411502
2013-06-03,56.7450799508
2013-06-04,56.4948059884
2013-06-05,56.7850309941
2013-06-06,56.840981857
2013-06-07,57.0761689291
2013-06-08,57.0761689291
2013-06-09,57.0761689291
2013-06-10,58.1762434704
2013-06-11,58.4050327733
2013-06-12,57.815018453
2013-06-13,58.0848666917
2013-06-14,57.5351424491
2013-06-15,57.5351424491
2013-06-16,57.5351424491
2013-06-17,57.9050761041
2013-06-18,58.7707492149
2013-06-19,58.7953155304
2013-06-20,59.6848484848
2013-06-21,59.2716236722
2013-06-22,59.2716236722
2013-06-23,59.2716236722
2013-06-24,59.6996790463
2013-06-25,59.6748895995
2013-06-26,60.7417076167
2013-06-27,60.2002762431
2013-06-28,59.4197247706
2013-06-29,59.4197247706
2013-06-30,59.4197247706
2013-07-01,59.5443737056
2013-07-02,59.6350925713
2013-07-03,60.2646809167
2013-07-04,60.224892175
2013-07-05,60.3648218583
2013-07-06,60.3648218583
2013-07-07,60.3648218583
2013-07-08,60.7548638132
2013-07-09,60.1446682741
2013-07-10,59.6550378522
2013-07-11,59.8282735357
2013-07-12,59.6301979438
2013-07-13,59.6301979438
2013-07-14,59.6301979438
2013-07-15,59.894712573
2013-07-16,59.14468669
2013-07-17,59.4648294762
2013-07-18,59.6501947606
2013-07-19,59.5046864284
2013-07-20,59.5046864284
2013-07-21,59.5046864284
2013-07-22,59.7235303053
2013-07-23,59.7253414264
2013-07-24,59.0797221803
2013-07-25,59.1084684139
2013-07-26,59.0422322775
2013-07-27,59.0422322775
2013-07-28,59.0422322775
2013-07-29,59.419743783
2013-07-30,60.4847937368
2013-07-31,60.4052730697
2013-08-01,60.4434874584
2013-08-02,61.1050518821
2013-08-03,61.1050518821
2013-08-04,61.1050518821
2013-08-05,60.875009429
2013-08-06,60.8087349398
2013-08-07,61.2521608418
2013-08-08,60.8615269461
2013-08-09,60.7971285426
2013-08-10,60.7971285426
2013-08-11,60.7971285426
2013-08-12,61.2748493976
2013-08-13,61.2836719338
2013-08-14,61.4437816205
2013-08-15,61.3198465819
2013-08-16,61.7136431784
2013-08-17,61.7136431784
2013-08-18,61.7136431784
2013-08-19,63.3678057554
2013-08-20,63.570041816
2013-08-21,64.4575612672
2013-08-22,64.8802822187
2013-08-23,64.0247098465
2013-08-24,64.0247098465
2013-08-25,64.0247098465
2013-08-26,64.4652346381
2013-08-27,67.3151896836
2013-08-28,68.9780475013
2013-08-29,66.9553746419
2013-08-30,66.3747638836
2013-08-31,66.3747638836
2013-09-01,66.3747638836
2013-09-02,66.2701597638
2013-09-03,68.2447616155
2013-09-04,67.0252828183
2013-09-05,66.1149825784
2013-09-06,65.2451017763
2013-09-07,65.2451017763
2013-09-08,65.2451017763
